Name,Budget,Lokasi,Rating,Picture
Gahana Bali Villa by Mindi Hospitality,4399688.00,"jalan yudistira seminyak kuta badung bali indonesia, Seminyak, Kuta, Bali, Indonesia, 80361",4.30,https://drive.google.com/file/d/1BQBKl-NJcfwM6o2eYNO5eqhUZu_9OzIV/view?usp=sharing
JIMBARAN 12 RESIDENCE,170000.00,"Jl Raya Uluwatu No. 37B Jimbaran, Kuta Selatan, Jimbaran, Kuta Selatan, Bali, Indonesia, 80361",4.30,https://drive.google.com/file/d/189fls-yOmn19GBSXIy3j4f-cd-GDNQ6i/view?usp=sharing
Bintang Kuta Hotel,765000.00,"Jalan Kartika Plaza, Kuta, Kuta, Badung, Bali, Indonesia, 80361",4.35,https://drive.google.com/file/d/1iAWSq7nQZHTrq8YWDzaqeFTrVHoWQCPS/view?usp=sharing
Familytel Bali,355110.00,"Jalan Bypass Ngurah Rai no 8x Tuban, Tuban, Kuta, Bali, Indonesia, 80361",4.10,https://drive.google.com/file/d/142hH9r6x0MgV3nRReirt53lpEpPkbIfg/view?usp=sharing
Gana Hotel & Restaurant,573750.00,"Jalan Pengosekan, Ubud, Monkey Forest, Bali, Indonesia, 80571",4.45,https://drive.google.com/file/d/1metNB1qqLBszbNNC47JwmY8uNvg909uX/view?usp=sharing
Ubud Raya Shala,801108.00,"Banjar Sindu, Jalan Raya Sayan - Ubud, Bali, Ubud, Sayan, Bali, Indonesia, 80571",4.30,https://drive.google.com/file/d/11I41XeN02JAvyluSkCow0oQA9WSOm67H/view?usp=sharing
"Alam Ubud Culture, Environment Villas & Residences",995775.00,"Desa Kendran. Tegallalang, Ubud, Ubud, Tegallalang, Bali, Indonesia, 80357",4.30,https://drive.google.com/file/d/13xL5gqKdglGMDrolD7Lj4AhJTDpXtTC0/view?usp=sharing
Sunrise Suite Seminyak by ARM Hospitality,688500.00,"Jalan taman sari v nomer 88 , Kuta Utara, Kerobokan, Bali, Indonesia, 80361",4.25,https://drive.google.com/file/d/1V_dgrcxen99lUkRPIdCvn7wztSvLl6e8/view?usp=sharing
Menjangan Dynasty Resort,2918933.00,"Desa Pejarakan  Gerokgak, Buleleng, North West Bali 81155, Menjangan, Buleleng, Bali, Indonesia, 81155",4.55,https://drive.google.com/file/d/17gRFm-vmgKe6aoQzROIanq_5A5iQCy4M/view?usp=sharing
Roomates Hostel Canggu by Ini Vie Hospitality,939250.00,"Jl. Pantai Batu Bolong Gg. Bonton No.8x, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80351, Canggu, Kuta Utara, Bali, Indonesia, 80351",4.40,https://drive.google.com/file/d/1GT_hZx5aypsfqnUyCwUwkX58WfqdpXUr/view?usp=sharing
Aloft Bali Seminyak CHSE Certified,1452000.00,"Jalan Batu Belig No. 228, Seminyak, Kuta, Bali, Indonesia, 8036",4.40,https://drive.google.com/file/d/1ukiluu8a1HImKe2gKMmBP6D7YH5jlSrY/view?usp=sharing
The St. Regis Bali Resort - CHSE Certified,10920251.00,"Kawasan Pariwisata, Nusa Dua, Lot S6, Nusa Dua, Nusa Dua Beach, Bali, Indonesia, 80363",4.50,https://drive.google.com/file/d/1jrQx4mT2qZzeGZFixTMyWFUim2BnvOka/view?usp=sharing
Bulgari Resort Bali - CHSE Certified,26620000.00,"Jalan Goa Lempeh, Banjar Dinas Kangin, Banjar Dinas Kangin, Uluwatu, Uluwatu, Kuta Selatan, Bali, Indonesia, 80364",4.60,https://drive.google.com/file/d/1gvz2q_FSbt_b0Hm9j9Nj4OpV5CtrF31N/view?usp=sharing
Aksari Resort Ubud by Ini Vie Hospitality,4146000.00,"Jl. Raya Desa Kenderan No.88x, Ubud, Ubud, Tegallalang, Bali, Indonesia, 80561",4.45,https://drive.google.com/file/d/1NFadK905vUKQBHt4Gdj9YXu2G9NBJFuF/view?usp=sharing
Le Meridien Bali Jimbaran - CHSE Certified,1887600.00,"Jalan Bukit Permai, Jimbaran, Kuta Selatan, Bali, Indonesia, 80361",4.30,https://drive.google.com/file/d/1D8tVFtFB_sclDe9p1L0A4-D0cQkSs9q1/view?usp=sharing
Ramayana Candidasa,996532.00,"Jalan Raya Sengkidu - Amlapura , Candidasa, Karangasem, Bali, Indonesia, 80801",4.40,https://drive.google.com/file/d/1rVl9wGqheIIAv7tzcVQr5ipof2z6rxKo/view?usp=sharing
The Swaha Hotel,386492.00,"Jalan Pasekan no 28b , Banjar tubuh , Batubulan , Sukawati Gianyar , Bali , Sukawati, Batubulan, Bali, Indonesia, 80582",4.35,https://drive.google.com/file/d/1w2_On5-6BrHMSIv_GdlVA-tpJOQCW7nr/view?usp=sharing
The Sandat Bungalow,350351.00,"Jl. Raya Klumpu - Toya Pakeh, Sakti, Klungkung Regency, Bali, Indonesia, Nusa Penida, Nusa Island, Bali, Indonesia, 80771",4.40,https://drive.google.com/file/d/1jhYc5_-bCYsrStxPYoK1BZkCKwfzyaJQ/view?usp=sharing
Kubu Bali Baik Villa & Resort ,561600.00,"Br. Umah Anyar Pejeng Kawan Tampaksiring , Ubud, Tampaksiring, Bali, Indonesia, 80552",4.40,https://drive.google.com/file/d/1KnyFFbcHcpGC4GfkDzpjGDNH4UE7eZxm/view?usp=sharing
Mejore Beach Hotel,469557.00,"Jl. Ketut Natih, Amed, Bali, Amed, Karangasem, Bali, Indonesia, 80852",4.35,https://drive.google.com/file/d/1Q0H7RQHQQD6xOxYy8d8vMNEBx97IoGHQ/view?usp=sharing
Poh Manis Lembongan,428400.00,"Ancak Village - Lembongan, Nusa Lembongan, Nusa Island, Bali, Indonesia, 80771",4.30,https://drive.google.com/file/d/1HS8pWtlPMHAdrn-N_trAjz4ptMC5ewFr/view?usp=sharing
Natya River Sidemen,724173.00,"Jl. Pura Dalam Banjar dinas, Jl. Wangsean - Klungah, Wismakerta, Kabupaten Karangasem, Bali, Sidemen, Karangasem, Bali, Indonesia, 80864",4.10,https://drive.google.com/file/d/19QVZMl_RaFIVR4h7Stn9DUVOz_ixAVdb/view?usp=sharing
Kangkung Cottages Karangasem,204819.00,"Jalan Pantai Jasri, Karangasem, Amlapura, Karangasem, Bali, Indonesia, 80363",4.10,https://drive.google.com/file/d/1WiS9Tq6Omp3LNTwN8bEJdabwUu7SLXzB/view?usp=sharing
Juan Beach Bungalow,325125.00,"Jl karang sari, desa suana, kecamatan nusa penida, , Nusa Penida, Nusa Island, Bali, Indonesia, 80771",4.35,https://drive.google.com/file/d/1ADiCcOlxc3gTcaHxVTJ4TgndrTfSPNSr/view?usp=sharing
Keramas Sacred River Village,585225.00,"jalan Raya Selukat, Keramas, Gianyar, Keramas, Gianyar, Bali, Indonesia, 80851",4.45,https://drive.google.com/file/d/1h7x-zNoDkGwWeDoraS23LBeA8aaH_urC/view?usp=sharing
Dewa Bharata Bungalow Candidasa,234600.00,"Jalan Raya Candidasa, Candidasa, Karangasem, Bali, Indonesia, 80851",4.05,https://drive.google.com/file/d/1xoFU0DJeF4iJkHhDO0oW9GLefZSR56uj/view?usp=sharing
At The Beach Candidasa,382500.00,"Jl. Pantai Indah No. 16, Candidasa - Bali, Candidasa, Karangasem, Bali, Indonesia, 8085",4.20,https://drive.google.com/file/d/1rvAZ5MdEl1MQfUyy6gdycQtSm_LglUxz/view?usp=sharing
Seamount Hotel,1097095.00,"Jl. I Ketut Natih, Purwakerti, Abang, Kabupaten Karangasem, Amed, Karangasem, Bali, Indonesia, 80852",4.65,https://drive.google.com/file/d/1-u-my3cFinOYe5GaT2hCcFykFao4sTSZ/view?usp=sharing
Kubu Bali Suites Seminyak,308953.00,"Jl.Raya Kerobokan Gang.7,no 3 Kerobokan Kelod - Badung Bali, Kuta Utara, Kerobokan, Bali, Indonesia, 80361",4.35,https://drive.google.com/file/d/1u__HawBE7oyqZnnJ0BdSrqClda6X1Nyy/view?usp=sharing
Jungle Retreat by Kupu Kupu Barong,1907057.00,"Kedewatan Ubud, Ubud, Kedewatan, Bali, Indonesia, 80571",4.25,https://drive.google.com/file/d/1kYjibNw57BfcAdagcZuHHBlS9aY6ogY1/view?usp=sharing
Quest San Hotel Denpasar by ASTON,339221.00,"Jalan Mahendradata No.93, Denpasar Barat, Denpasar, Bali, Indonesia, 80117",4.25,https://drive.google.com/file/d/1tlj0TE5Ui_zEkTynSWZ8GM70qW4uRHFo/view?usp=sharing
Bali Mystique Apartment Seminyak,1237759.00,"Jalan Petitenget no.2000XX, Seminyak, Kuta, Bali, Indonesia, 80361",4.30,https://drive.google.com/file/d/1MGyfI2Gnx5TQ6FTr4HLjnmQSAtGG92II/view?usp=sharing
The Anvaya Beach Resort Bali,2335286.00,"Jalan Kartika Plaza, Kuta, Badung, Bali, Indonesia, 80361",4.45,https://drive.google.com/file/d/14ed1couehq8Gqdy3da1uYKbsafXzJ9tf/view?usp=sharing
Prama Sanur Beach Bali,1652400.00,"Jl. Cemara, Sanur Kauh, Sanur, Bali, Indonesia, 80228",4.30,https://drive.google.com/file/d/1cR0KdnbFGYB3IvozKSQz-rwqsuOq4YRn/view?usp=sharing
Paragon Hotel Seminyak,484499.00,"Jalan Batu Belig No. 555, Seminyak, Kuta, Bali, Indonesia, 80361",4.10,https://drive.google.com/file/d/1vlWf2cggSGUbQVHKIsRAwfyKe5Cd3fZX/view?usp=sharing
Sanur Agung Hotel,320000.00,"Jalan I Gusti Ngurah Rai No.174, Sanur, Bali, Sanur, Bali, Indonesia",3.95,https://drive.google.com/file/d/1A_3DuaKkO1lL-6vefqU94kNnmVlRtXRP/view?usp=sharing
Candy Bed & Breakfast,1425000.00,"Jalan Nusa Ceningan, Nusa Ceningan, Nusa Island, Bali, Indonesia, 80771",4.30,https://drive.google.com/file/d/13jwHS45ZParro80FSBT3p7PVg8ZrdvI7/view?usp=sharing
Arana Suite,496485.00,"Jl. Dewi Ratih No. 5 Legian - Bali, Legian, Kuta, Bali, Indonesia, 80361",4.50,https://drive.google.com/file/d/1NggsF3UH90VeH1c5x6kw-0gcU6d9Ggvc/view?usp=sharing
Kupu Kupu Jimbaran Beach Club & Spa by Loccitane,1989822.00,"Jalan Raya Uluwatu, Banjar Pesalakan , Jimbaran, Kuta Selatan, Bali, Indonesia, 80361",4.20,https://drive.google.com/file/d/12gj9KBwExyz5b-kA28gxvuM8ThlWvy07/view?usp=sharing
Di Uma Residence Hotel & Dormitory,308333.00,"Jalan Tukad Badung XVI No 1001 Renon Denpasar, Denpasar Selatan, Denpasar, Bali, Indonesia, 80226",4.01,https://drive.google.com/file/d/157Oc7CiajCEOkcP_Gfg73TZSus0RJKkl/view?usp=sharing
The Visala Boutique Suite Seminyak,1921921.00,"Jalan Cendrawasih No.8 Petitenget, Kerobokan - Bali, Seminyak, Kuta, Bali, Indonesia, 80361",4.30,https://drive.google.com/file/d/1AA1c0p9MIm2v8MAiJgEB6VjitXNv9XbT/view?usp=sharing
Uma Shanty,270581.00,"Jalan Darmawangsa Budakeling Bebandem, Karangasem, Bali, Indonesia, 80861",4.00,https://drive.google.com/file/d/1lMAZw9mXgp86o81RhaX3iDmAQE7up4o0/view?usp=sharing
Bali Tropic Resort & Spa,1549125.00,"Jalan Pratama 34A Nusa Dua, Nusa Dua, Tanjung Benoa, Bali, Indonesia, 80363",4.30,https://drive.google.com/file/d/1B38PIJ3c-xIVQQcFzLq44EX-eaUM2pM4/view?usp=sharing
Siddhartha Oceanfront Resort & Spa Bali - CHSE Certified,2102105.00,"Jl. Kubu, Siddhartha Ocean Front Resort & Spa, Tulamben, Karangasem, Bali, Indonesia, 80853",4.30,https://drive.google.com/file/d/1ldnHSS61kCbMgGZfGEjIUc1gV9ROHI8Z/view?usp=sharing
"Jimbaran Puri, A Belmond Hotel, Bali",6375603.00,"Jalan Uluwatu, Yoga Perkanthi Lane, Jimbaran - South Kuta - Badung Regency, Bali, Jimbaran, Kuta Selatan, Bali, Indonesia, 80361",4.80,https://drive.google.com/file/d/1SDVRRAQyrBwWqTn4LXBxhTfvQ9fKc-kE/view?usp=sharing
